# 2585 empty items (Special:Export dump). QID	lost	label	url
Q137124118	32	Gandhara architecture style	https://www.wikidata.org/wiki/Q137124118
Q124656401	26	Бөтенроссия Саңгыраулар Телевидениесе	https://www.wikidata.org/wiki/Q124656401
Q132528339	25	സാന്ദ്ര റീഹ്സ് (ലൈംഗിക നടി)	https://www.wikidata.org/wiki/Q132528339
Q110554503	20	Mehrab Nourmohammadi	https://www.wikidata.org/wiki/Q110554503
Q54859923	15		https://www.wikidata.org/wiki/Q54859923
Q55693681	15	Karsmossen utvidgning	https://www.wikidata.org/wiki/Q55693681
Q133862595	14	Fitnat Hanım	https://www.wikidata.org/wiki/Q133862595
Q100000550	14	Data Center Network Flow Scheduling Based on DPSO Algorithm	https://www.wikidata.org/wiki/Q100000550
Q28069431	14	Kuil Kikuna	https://www.wikidata.org/wiki/Q28069431
Q139088564	13		https://www.wikidata.org/wiki/Q139088564
Q61457304	13	ZUŠ Orchidea clasic	https://www.wikidata.org/wiki/Q61457304
Q56850360	13	Eyüp Yıldırır	https://www.wikidata.org/wiki/Q56850360
Q54728444	13	Yixunite - an ordered new native indium and platinum alloy	https://www.wikidata.org/wiki/Q54728444
Q112533351	13	Vasıf Hasırcı	https://www.wikidata.org/wiki/Q112533351
Q62624129	12	Hazim Bek Shemdin Agha	https://www.wikidata.org/wiki/Q62624129
Q99492034	12	Fortica (Omiš)	https://www.wikidata.org/wiki/Q99492034
Q76904190	12	Ar y groesffordd : drama Gymraeg mewn pedair act	https://www.wikidata.org/wiki/Q76904190
Q116251486	12		https://www.wikidata.org/wiki/Q116251486
Q89747648	12	Gerardo Mosquera	https://www.wikidata.org/wiki/Q89747648
Q136670725	12		https://www.wikidata.org/wiki/Q136670725
Q22936934	11	Gruta ornamentada paleolítica	https://www.wikidata.org/wiki/Q22936934
Q140500612	11		https://www.wikidata.org/wiki/Q140500612
Q116251418	11		https://www.wikidata.org/wiki/Q116251418
Q106504773	10	Tiny Toon Adventures 6	https://www.wikidata.org/wiki/Q106504773
Q48754139	10		https://www.wikidata.org/wiki/Q48754139
Q107006452	10	الفا نیوز کال	https://www.wikidata.org/wiki/Q107006452
Q130777147	10	Nothing Here	https://www.wikidata.org/wiki/Q130777147
Q22925865	10		https://www.wikidata.org/wiki/Q22925865
Q136652102	10		https://www.wikidata.org/wiki/Q136652102
Q106216071	10	Youth Cybersecurity Forum	https://www.wikidata.org/wiki/Q106216071
Q117001323	10	African Centre for Cities	https://www.wikidata.org/wiki/Q117001323
Q47004725	10	глухие переднеязычные взрывные согласные	https://www.wikidata.org/wiki/Q47004725
Q131636689	9		https://www.wikidata.org/wiki/Q131636689
Q111391273	9	Hotel De	https://www.wikidata.org/wiki/Q111391273
Q104733504	9	7 Gwardyjska Dywizja Desantowo-Szturmowa (Górska)	https://www.wikidata.org/wiki/Q104733504
Q97255175	9	Gòssa	https://www.wikidata.org/wiki/Q97255175
Q79588113	9	Acero	https://www.wikidata.org/wiki/Q79588113
Q141057126	9		https://www.wikidata.org/wiki/Q141057126
Q138752185	9		https://www.wikidata.org/wiki/Q138752185
Q83584653	8	«Navicula»	https://www.wikidata.org/wiki/Q83584653
Q75564915	8	Jakuba Kolasa Street	https://www.wikidata.org/wiki/Q75564915
Q98072169	7	Tumacë me tulë	https://www.wikidata.org/wiki/Q98072169
Q122169945	7		https://www.wikidata.org/wiki/Q122169945
Q140763962	7		https://www.wikidata.org/wiki/Q140763962
Q140078956	7	Chapel of Saint Joseph (Luhačovice)	https://www.wikidata.org/wiki/Q140078956
Q139906398	7	Dvornikovi	https://www.wikidata.org/wiki/Q139906398
Q85522467	7	Día Internacional dos Bancos	https://www.wikidata.org/wiki/Q85522467
Q140962990	7	Category:Hanjiangwan Bridge	https://www.wikidata.org/wiki/Q140962990
Q105980968	7	Wünsdorf, Seestraße 19	https://www.wikidata.org/wiki/Q105980968
Q141078340	7	Triken Studios	https://www.wikidata.org/wiki/Q141078340
Q141062092	6		https://www.wikidata.org/wiki/Q141062092
Q42752907	6	Irena	https://www.wikidata.org/wiki/Q42752907
Q16004302	6		https://www.wikidata.org/wiki/Q16004302
Q105106827	6	Viciao	https://www.wikidata.org/wiki/Q105106827
Q83564351	6	Category:IMO 5264510	https://www.wikidata.org/wiki/Q83564351
Q32305324	6		https://www.wikidata.org/wiki/Q32305324
Q93941141	6	PSV in het seizoen 2019/20 (vrouwen)	https://www.wikidata.org/wiki/Q93941141
Q103775985	6	Oleska Zaryckyj	https://www.wikidata.org/wiki/Q103775985
Q125059391	6	Hovd Mosque	https://www.wikidata.org/wiki/Q125059391
Q97233920	6	Bermuudakuunar	https://www.wikidata.org/wiki/Q97233920
Q140078165	6		https://www.wikidata.org/wiki/Q140078165
Q26162473	6		https://www.wikidata.org/wiki/Q26162473
Q119452293	6	Packers–Vikings rivalry	https://www.wikidata.org/wiki/Q119452293
Q111605199	6	Giresun Limanı	https://www.wikidata.org/wiki/Q111605199
Q122809511	6	Schutzhaus Hohe Salve	https://www.wikidata.org/wiki/Q122809511
Q136555937	6	SBSゴルフ2	https://www.wikidata.org/wiki/Q136555937
Q109591830	5	Moksh Murgai	https://www.wikidata.org/wiki/Q109591830
Q61257554	5	Тепенавак	https://www.wikidata.org/wiki/Q61257554
Q89098865	5	Taur (faraon)	https://www.wikidata.org/wiki/Q89098865
Q16640180	5		https://www.wikidata.org/wiki/Q16640180
Q109567026	5	serges Fernandez	https://www.wikidata.org/wiki/Q109567026
Q112990146	5		https://www.wikidata.org/wiki/Q112990146
Q141048631	5		https://www.wikidata.org/wiki/Q141048631
Q63798511	5	Neorenesančná radnica	https://www.wikidata.org/wiki/Q63798511
Q107136879	5	Ouahiba Chaoui	https://www.wikidata.org/wiki/Q107136879
Q128417321	5	Kaňon Blanice	https://www.wikidata.org/wiki/Q128417321
Q123145621	5		https://www.wikidata.org/wiki/Q123145621
Q123145628	5		https://www.wikidata.org/wiki/Q123145628
Q124651677	5	Finnsirius (ship, 2023)	https://www.wikidata.org/wiki/Q124651677
Q138961306	5	Albert Plesmanschool, Rotterdam	https://www.wikidata.org/wiki/Q138961306
Q125810536	5	Achilles at Skyros, fresco	https://www.wikidata.org/wiki/Q125810536
Q97119411	5	Someshwar Mahadeva place	https://www.wikidata.org/wiki/Q97119411
