# Emma's rulings on the 11 difficult bunrei, transcribed from the shintowiki
# 分霊 page table "Some difficult bunrei to track" (saved copy:
# `Bunrei - Shinto Wiki.html`, read by `lineage/read_bunrei_page.py` — no request
# was made to shinto.miraheze.org, which is under blackout until 2026-08-09).
#
# These OVERRIDE the agents' article read. They are answers, not evidence: where
# the page says autochthonous and the article named a source, the page wins.
# `build_p612_quickstatements.py` applies this file before anything else.
#
# p612  a QID -> emit that value
#       PENDING -> emit nothing yet; the reason column says what is missing
#
# shrine	qid	p612	emma's words on the page
佐嘉神社	Q11383096	Q135508874	autocthonous
劔神社	Q11398386	Q135508874	autocthonous
坐摩神社	Q11425667	Q11453221	Yeah it comes from the palace things in list of shikinaisha in the imperial palace lol
度津神社	Q172382	Q24238356	I think this is explicitly unknown
石園座多久虫玉神社	Q11585337	Q24238356	I think this is explicitly unknown
月讀宮	Q11516220	Q24238356	I think this is explicitly unknown
風宮	Q11665463	Q24238356	I think this is explicitly unknown
風日祈宮	Q11665488	Q24238356	I think this is explicitly unknown
小俣神社	Q17225978	Q11633343	We figured this out from deity page
瀧原宮	Q11566292	PENDING	make wikidata for 磯宮 — the item does not exist yet; it is in ise_jingu_creates.txt, and lineage/stage_takihara_p612.py emits this line once the batch has run
忌部神社	Q11490722	Q705547	comes from the main inbe lineage. Not gosho shrine — Emma named the head 2026-08-04: Q705547 安房神社
