title	class	source
久能山東照宮	AUTOCHTHONOUS	家康の墓所・埋葬地に創建
亀山八幡宮 (下関市)	TRANSFER	宇佐神宮
亀山八幡宮 (佐世保市)	TRANSFER	宇佐神宮
亀山神社 (呉市清水)	TRANSFER	宇佐神宮
二見興玉神社	AUTOCHTHONOUS	興玉神石そのものが神体・興玉神の総本宮
五社神社・諏訪神社	TRANSFER	春日大社
井伊谷宮	AUTOCHTHONOUS	宗良親王の薨去地・墓所に創建
井草八幡宮	NETWORK	八幡神（源氏の八幡信仰）
京都霊山護国神社	AUTOCHTHONOUS	招魂社
今宮戎神社	TRANSFER	八坂神社
伊佐須美神社	AUTOCHTHONOUS	四道将軍が会津の天津嶽に国家鎮護神を奉斎
伊勢山皇大神宮	TRANSFER	伊勢神宮
佐嘉神社	TRANSFER	松原神社
佐太神社	AUTOCHTHONOUS	佐太大神の在地鎮座（加賀の潜戸で生まれた神）
佐賀縣護國神社	AUTOCHTHONOUS	招魂社
倭文神社 (湯梨浜町)	AUTOCHTHONOUS	倭文氏が祖神を当地で祀った
備後護国神社	AUTOCHTHONOUS	招魂社
光雲神社	AUTOCHTHONOUS	黒田長政を権現として当地で神格化
八代宮	AUTOCHTHONOUS	懐良親王の墓所の地に創建
八坂神社	AUTOCHTHONOUS	祇園神が祇園林に降臨（広峯遷座説は否定）
八幡朝見神社	TRANSFER	鶴岡八幡宮
八槻都々古別神社	AUTOCHTHONOUS	日本武尊の矢の落下地という神意で創祀
八重垣神社	TRANSFER	須我神社
兵庫縣姫路護國神社	AUTOCHTHONOUS	招魂社
大分縣護國神社	AUTOCHTHONOUS	招魂社
大原野神社	TRANSFER	春日大社
大和神社	AUTOCHTHONOUS	神託により新たに神地を定めて創建
大國魂神社	AUTOCHTHONOUS	大國魂大神が当地に降臨
大宮八幡宮 (杉並区)	TRANSFER	石清水八幡宮
大富神社	AUTOCHTHONOUS	当地での神託降下（宗像三女神）
大山祇神社	AUTOCHTHONOUS	神体山・神の島、総本社（伊予国風土記の百済渡来説は異説）
大山阿夫利神社	AUTOCHTHONOUS	山頂の磐座を神体とする山岳信仰
大杉神社	TRANSFER	大神神社
大洗磯前神社	AUTOCHTHONOUS	大洗磯前に神が出現
大石神社	AUTOCHTHONOUS	大石邸の祠に発する人霊祭祀
大神山神社	AUTOCHTHONOUS	大山（大神岳）が神体山
名和神社	AUTOCHTHONOUS	名和長年の邸宅跡に小祠
和霊神社	AUTOCHTHONOUS	山家公頼の鎮魂、和霊信仰の総本社
唐沢山神社	AUTOCHTHONOUS	藤原秀郷の居城跡・墓所に創建
四柱神社	AUTOCHTHONOUS	明治の神道中教院で四柱を新たに奉斎
四條畷神社	AUTOCHTHONOUS	楠木正行の自害地の墓（楠塚）に創建
土佐神社	TRANSFER	鳴無神社
坐摩神社	NETWORK	宮中（神祇官西院）の坐摩神
報徳二宮神社 (小田原市)	AUTOCHTHONOUS	二宮尊徳の生地に創建
多度大社	AUTOCHTHONOUS	多度山を神体山とする
多田神社	AUTOCHTHONOUS	源満仲の墳墓・清和源氏の祖廟
多賀大社	AUTOCHTHONOUS	伊邪那岐の幽宮（神自身の鎮まる地）
大井神社 (島田市)	AUTOCHTHONOUS	大井川そのものの神格化
伊古奈比咩命神社	AUTOCHTHONOUS	白浜が三嶋神の元宮、伊古奈比咩命は土着の后神
伊和神社	AUTOCHTHONOUS	当地での神託＋鶴石・磐座信仰
伊太祁曽神社	AUTOCHTHONOUS	五十猛神が最後に紀伊国へ降り立った地
伊奈波神社	AUTOCHTHONOUS	五十瓊敷入彦命が討たれた死没地に祀る
伊弉諾神宮	AUTOCHTHONOUS	伊弉諾尊の幽宮（自ら鎮まった終焉の地）
伊曽乃神社	TRANSFER	伊勢神宮
伊豫豆比古命神社	AUTOCHTHONOUS	伊予の土地神が舟山に着き鎮座
住吉大社	AUTOCHTHONOUS	住吉三神の託宣による鎮座地指定、総本社
住吉神社 (下関市)	AUTOCHTHONOUS	住吉大神の神託「我が荒魂を穴門に祀れ」
住吉神社 (壱岐市)	AUTOCHTHONOUS	神功皇后が上陸地で三神を直接奉斎
住吉神社 (小樽市)	NETWORK	住吉神（総本社は住吉大社、勧請元社名なし）
住吉神社 (福岡市)	AUTOCHTHONOUS	鎮座地が住吉三神の誕生地・阿波岐原
兵庫縣神戸護國神社	AUTOCHTHONOUS	招魂社
冨士山下宮小室浅間神社	NETWORK	富士山・浅間大神（二合目からの勧請説は記事が否定）
冨士御室浅間神社	AUTOCHTHONOUS	富士山そのものを神とする山上鎮座
出石神社	AUTOCHTHONOUS	天日槍を子孫が祖神として当地に祀る
出羽神社	AUTOCHTHONOUS	羽黒山への山岳信仰
出雲大社	AUTOCHTHONOUS	大国主神自身の住処として造営
函館八幡宮	NETWORK	八幡神（勧請元社名なし）
劔神社	TRANSFER	伊部郷座ヶ岳の素盞嗚尊神霊
北口本宮冨士浅間神社	TRANSFER	冨士御室浅間神社
北海道神宮	TRANSFER	神祇官（東京の北海道鎮座神祭）
北畠神社	AUTOCHTHONOUS	北畠氏館跡に子孫が祖先を祀る
北舘神社	AUTOCHTHONOUS	北楯利長を住民が没後に神として祀る
大神神社	AUTOCHTHONOUS	大穴持命が自らの和魂を三輪山に鎮座、総本社
大縣神社	AUTOCHTHONOUS	本宮山山頂に発する山の神
大野湊神社	AUTOCHTHONOUS	海から拾われた神体を当地で初めて奉斎
大阪天満宮	AUTOCHTHONOUS	当地の霊異を承けた勅命創建
大阪護國神社	AUTOCHTHONOUS	招魂社
大鳥大社	AUTOCHTHONOUS	日本武尊の白鳥が舞い降りた地、総本社
大麻比古神社	AUTOCHTHONOUS	阿波忌部氏が開拓地で祖神を祀る
天岩戸神社	AUTOCHTHONOUS	天岩戸の岩窟そのものが神体
太平山三吉神社	AUTOCHTHONOUS	太平山そのものが神、総本宮
太皷谷稲成神社	TRANSFER	伏見稲荷大社
奈良県護国神社	AUTOCHTHONOUS	招魂社
宇佐神宮	TRANSFER	大分八幡宮
北野天満宮	AUTOCHTHONOUS	道真の託宣により北野に社を立てる、天神総本社
十日恵比須神社	AUTOCHTHONOUS	漂着した恵比須神像を拾い上げた地に鎮座
千栗八幡宮	NETWORK	宇佐八幡宮（五所別宮の一）
千葉縣護國神社	AUTOCHTHONOUS	招魂社
南宮大社	AUTOCHTHONOUS	金属神の総本宮、南宮山麓
厳島神社	AUTOCHTHONOUS	島そのものが神、社殿造営の神託、総本社
古四王神社	AUTOCHTHONOUS	齶田浦神（土地の地主神）を当地で奉祀
吉備津彦神社	NETWORK	吉備津神社（本宮）
吉備津神社 (福山市)	TRANSFER	吉備津神社
吉備津神社	AUTOCHTHONOUS	大吉備津彦命の住居跡・墓所、吉備の中山が神体山
吉田神社	TRANSFER	春日大社
